unicode	latex
0023	\#
0024	\$
0025	\%
0026	\&
0027	'
0040	\@
002A	\textasteriskcentered
005E	\^{}
005F	\_
007C	\vert{}
00A0	~
00A1	\textexclamdown{}
00A2	\textcent{}
00A3	\textsterling{}
00A4	\textcurrency{}
00A5	\textyen{}
00A6	\textbrokenbar{}
00A7	\textsection{}
00A8	\textasciidieresis{}
00A9	\textcopyright{}
00AA	\textordfeminine{}
00AB	\guillemotleft{}
00AC	\lnot{}
00AD	\-
00AE	\textregistered{}
00AF	\textasciimacron{}
00B0	\textdegree{}
00B1	\pm{}
00B2	\ensuremath{^2}
00B3	\ensuremath{^3}
00B4	\textasciiacute{}
00B5	\mathrm{\mu}
00B6	\textparagraph{}
00B7	\cdot{}
00B8	\c{}
00B9	\ensuremath{^1}
00BA	\textordmasculine{}
00BB	\guillemotright{}
00BC	\textonequarter{}
00BD	\textonehalf{}
00BE	\textthreequarters{}
00BF	\textquestiondown{}
00C0	\`{A}
00C1	\'{A}
00C2	\^{A}
00C3	\~{A}
00C4	\"{A}
00C5	\AA{}
00C6	\AE{}
00C7	\c{C}
00C8	\`{E}
00C9	\'{E}
00CA	\^{E}
00CB	\"{E}
00CC	\`{I}
00CD	\'{I}
00CE	\^{I}
00CF	\"{I}
00D0	\DH{}
00D1	\~{N}
00D2	\`{O}
00D3	\'{O}
00D4	\^{O}
00D5	\~{O}
00D6	\"{O}
00D7	\texttimes{}
00D8	\O{}
00D9	\`{U}
00DA	\'{U}
00DB	\^{U}
00DC	\"{U}
00DD	\'{Y}
00DE	\TH{}
00DF	\ss{}
00E0	\`{a}
00E1	\'{a}
00E2	\^{a}
00E3	\~{a}
00E4	\"{a}
00E5	\aa{}
00E6	\ae{}
00E7	\c{c}
00E8	\`{e}
00E9	\'{e}
00EA	\^{e}
00EB	\"{e}
00EC	\`{\i}
00ED	\'{\i}
00EE	\^{\i}
00EF	\"{\i}
00F0	\dh{}
00F1	\~{n}
00F2	\`{o}
00F3	\'{o}
00F4	\^{o}
00F5	\~{o}
00F6	\"{o}
00F7	\div{}
00F8	\o{}
00F9	\`{u}
00FA	\'{u}
00FB	\^{u}
00FC	\"{u}
00FD	\'{y}
00FE	\th{}
00FF	\"{y}
0100	\={A}
0101	\={a}
0102	\u{A}
0103	\u{a}
0104	\k{A}
0105	\k{a}
0106	\'{C}
0107	\'{c}
0108	\^{C}
0109	\^{c}
010A	\.{C}
010B	\.{c}
010C	\v{C}
010D	\v{c}
010E	\v{D}
010F	\v{d}
0110	\DJ{}
0111	\dj{}
0112	\={E}
0113	\={e}
0114	\u{E}
0115	\u{e}
0116	\.{E}
0117	\.{e}
0118	\k{E}
0119	\k{e}
011A	\v{E}
011B	\v{e}
011C	\^{G}
011D	\^{g}
011E	\u{G}
011F	\u{g}
0120	\.{G}
0121	\.{g}
0122	\c{G}
0123	\c{g}
0124	\^{H}
0125	\^{h}
0126	{\fontencoding{LELA}\selectfont\char40}
0127	\Elzxh{}
0128	\~{I}
0129	\~{\i}
012A	\={I}
012B	\={\i}
012C	\u{I}
012D	\u{\i}
012E	\k{I}
012F	\k{i}
0130	\.{I}
0131	\i{}
0132	IJ
0133	ij
0134	\^{J}
0135	\^{\j}
0136	\c{K}
0137	\c{k}
0138	{\fontencoding{LELA}\selectfont\char91}
0139	\'{L}
013A	\'{l}
013B	\c{L}
013C	\c{l}
013D	\v{L}
013E	\v{l}
013F	{\fontencoding{LELA}\selectfont\char201}
0140	{\fontencoding{LELA}\selectfont\char202}
0141	\L{}
0142	\l{}
0143	\'{N}
0144	\'{n}
0145	\c{N}
0146	\c{n}
0147	\v{N}
0148	\v{n}
0149	'n
014A	\NG{}
014B	\ng{}
014C	\={O}
014D	\={o}
014E	\u{O}
014F	\u{o}
0150	\H{O}
0151	\H{o}
0152	\OE{}
0153	\oe{}
0154	\'{R}
0155	\'{r}
0156	\c{R}
0157	\c{r}
0158	\v{R}
0159	\v{r}
015A	\'{S}
015B	\'{s}
015C	\^{S}
015D	\^{s}
015E	\c{S}
015F	\c{s}
0160	\v{S}
0161	\v{s}
0162	\c{T}
0163	\c{t}
0164	\v{T}
0165	\v{t}
0166	{\fontencoding{LELA}\selectfont\char47}
0167	{\fontencoding{LELA}\selectfont\char63}
0168	\~{U}
0169	\~{u}
016A	\={U}
016B	\={u}
016C	\u{U}
016D	\u{u}
016E	\r{U}
016F	\r{u}
0170	\H{U}
0171	\H{u}
0172	\k{U}
0173	\k{u}
0174	\^{W}
0175	\^{w}
0176	\^{Y}
0177	\^{y}
0178	\"{Y}
0179	\'{Z}
017A	\'{z}
017B	\.{Z}
017C	\.{z}
017D	\v{Z}
017E	\v{z}
0195	\texthvlig{}
019E	\textnrleg{}
01AA	\eth{}
01BA	{\fontencoding{LELA}\selectfont\char195}
01C2	\textdoublepipe{}
01F5	\'{g}
0250	\Elztrna{}
0252	\Elztrnsa{}
0254	\Elzopeno{}
0256	\Elzrtld{}
0258	{\fontencoding{LEIP}\selectfont\char61}
0259	\Elzschwa{}
025B	\varepsilon{}
0263	\Elzpgamma{}
0264	\Elzpbgam{}
0265	\Elztrnh{}
026C	\Elzbtdl{}
026D	\Elzrtll{}
026F	\Elztrnm{}
0270	\Elztrnmlr{}
0271	\Elzltlmr{}
0272	\Elzltln{}
0273	\Elzrtln{}
0277	\Elzclomeg{}
0278	\textphi{}
0279	\Elztrnr{}
027A	\Elztrnrl{}
027B	\Elzrttrnr{}
027C	\Elzrl{}
027D	\Elzrtlr{}
027E	\Elzfhr{}
027F	{\fontencoding{LEIP}\selectfont\char202}
0282	\Elzrtls{}
0283	\Elzesh{}
0287	\Elztrnt{}
0288	\Elzrtlt{}
028A	\Elzpupsil{}
028B	\Elzpscrv{}
028C	\Elzinvv{}
028D	\Elzinvw{}
028E	\Elztrny{}
0290	\Elzrtlz{}
0292	\Elzyogh{}
0294	\Elzglst{}
0295	\Elzreglst{}
0296	\Elzinglst{}
029E	\textturnk{}
02A4	\Elzdyogh{}
02A7	\Elztesh{}
02C7	\textasciicaron{}
